@relation 'city_day-weka.filters.unsupervised.attribute.Remove-R2,15-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R14-15-weka.filters.unsupervised.attribute.NumericTransform-R8,11-12-Cjava.lang.Math-Mlog-weka.filters.unsupervised.attribute.NumericTransform-R2-7,9-10-Cjava.lang.Math-Mcbrt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.instance.SpreadSubsample-M-1.0-X0.0-S1'

@attribute City {Ahmedabad,Aizawl,Amaravati,Amritsar,Bengaluru,Bhopal,Brajrajnagar,Chandigarh,Chennai,Coimbatore,Delhi,Ernakulam,Gurugram,Guwahati,Hyderabad,Jaipur,Jorapokhar,Kochi,Kolkata,Lucknow,Mumbai,Patna,Shillong,Talcher,Thiruvananthapuram,Visakhapatnam}
@attribute PM2.5 numeric
@attribute PM10 numeric
@attribute NO numeric
@attribute NO2 numeric
@attribute NOx numeric
@attribute NH3 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute O3 numeric
@attribute Benzene numeric
@attribute Toluene numeric
@attribute AQI_Bucket {Poor,'Very Poor',Severe,Moderate,Satisfactory,Good}

@data
Talcher,0.44036,0.616199,0.354947,0.112031,0.384852,0.24616,0.566504,0.395811,0.304768,0.545059,0.639541,Poor
Delhi,0.426982,0.549631,0.3314,0.479759,0.538061,0.458578,0.653418,0.466469,0.599164,0.519876,0.650118,Poor
Lucknow,0.442597,0.489155,0.251451,0.528883,0.224854,0.388686,0.531272,0.28151,0.630856,0.480469,0.547247,Poor
Delhi,0.482982,0.577844,0.34597,0.486398,0.178467,0.490434,0.496393,0.428554,0.545045,0.513292,0.602751,Poor
Ahmedabad,0.426623,0.489324,0.126115,0.684364,0.544082,0.388686,0.525424,0.851587,0.754713,0.442396,0.723219,Poor
Patna,0.454562,0.489155,0.334404,0.472664,0.388915,0.388686,0.511246,0.510286,0.662776,0.551851,0.752406,Poor
Guwahati,0.506165,0.58714,0.529259,0.422525,0.716811,0.338483,0.462607,0.395492,0.399868,0.398737,0.639541,Poor
Chandigarh,0.453972,0.547617,0.192689,0.342388,0.332706,0.114514,0.454511,0.361146,0.345119,0.467169,0.590176,Poor
Gurugram,0.494467,0.626243,0.510739,0.479875,0.578347,0.388686,0.40225,0.388464,0.581453,?,?,Poor
Visakhapatnam,0.451157,0.591043,0.408417,0.559306,0.547455,0.337038,0.493145,0.465366,0.572299,0.621597,0.681814,Poor
Kolkata,0.535642,0.654268,0.596125,0.627035,0.763193,0.383524,0.50108,0.433464,0.458546,0.401291,0.378591,Poor
Jorapokhar,0.398158,0.687073,0.223047,0.254364,0.440314,0.240112,?,0.403257,0.38593,0.545059,0.639541,Poor
Delhi,0.411292,0.618746,0.328836,0.405046,0.494367,0.35776,0.496393,0.358748,0.606356,0.500734,0.591168,Poor
Patna,0.491952,0.489155,0.360299,0.632005,0.467876,0.388686,0.516632,0.598601,0.553984,0.502877,0.709489,Poor
